number,species,age,sex,wing,weight
772 , CH , I , M , 230 , 340
773 , RT , I ,  , 366 , 935
774 , RT , I ,  , 386 , 1065
775 , RT , I ,  , 375 , 1110
776 , SS , I , F , 199 , 190
777 , RT , A ,  , 405 , 1255
778 , RT , A ,  , 371 , 1015
779 , SS , I , F , 193 , 190
780 , RT , I ,  , 350 , 960
781 , SS , I , F , 193 , 200
782 , RT , A ,  , 368 , 1090
783 , SS , I , M , 185 , 170
784 , RT , I ,  , 372 , 1085
785 , RT , I ,  , 396 , 1065
786 , RT , I ,  , 365 , 1125
787 , RT , I ,  , 374 , 1050
788 , CH , I , F , 253 , 525
789 , RT , I ,  , 372 , 980
790 , RT , I ,  , 376 , 1180
791 , SS , I , M , 166 , 115
792 , RT , I ,  , 369 , 1095
793 , RT , A ,  , 391 , 1330
794 , SS , I , F , 193 , 185
795 , RT , A ,  , 397 , 1100
796 , RT , I ,  , 366 , 1115
797 , RT , A ,  , 385 , 1400
798 , RT , I ,  , 400 , 1175
799 , SS , I , F , 198 , 185
800 , RT , A ,  , 365 , 970
801 , SS , I , F , 194 , 170
802 , SS , I , F , 195 , 175
803 , SS , I , F , 200 , 165
804 , RT , I ,  , 384 , 1260
805 , SS , I , M , 159 , 110
806 , SS , I , M , 161 , 100
807 , SS , I , F , 191 , 190
808 , CH , I , M , 216 , 305
809 , CH , I , F , 256 , 510
810 , SS , I , M , 161 , 90
811 , RT , A ,  , 396 , 1195
812 , RT , I ,  , 391 , 1035
813 , SS , I , M , 160 , 90
814 , SS , I , M , 183 , 160
815 , SS , I , M , 156 , 85
816 , RT , I ,  , 393 , 1155
817 , RT , I ,  , 397 , 1260
818 , SS , I , M , 159 , 95
819 , CH , I , F , 255 , 440
820 , SS , I , M , 197 , 175
821 , CH , I , M , 218 , 295
822 , SS , I , F , 196 , 160
823 , RT , I ,  , 384 , 1010
824 , RT , I ,  , 385 , 990
825 , SS , I , M , 181 , 150
826 , CH , I , M , 225 , 300
827 , RT , I ,  , 379 , 945
828 , SS , I , F , 201 , 188
829 , SS , I , M , 161 , 95
830 , CH , A , M , 230 , 330
831 , SS , I , M , 159 , 95
832 , RT , I ,  , 367 , 970
833 , RT , I ,  , 396 , 1240
834 , SS , I , M , 157 , 105
835 , SS , I , F , 191 , 165
836 , SS , I , F , 191 , 170
837 , SS , I , M , 168 , 100
838 , RT , I ,  , 428 , 1290
839 , CH , A , F , 252 , 470
840 , SS , A , F , 192 , 175
841 , SS , A , F , 195 , 195
842 , CH , A , M , 233 , 335
843 , RT , A ,  , 364 , 1150
844 , RT , I ,  , 370 , 960
845 , RT , I ,  , 400 , 1130
846 , RT , I ,  , 375 , 925
847 , RT , I ,  , 398 , 1205
848 , RT , I ,  , 385 , 1040
849 , SS , I , M , 156 , 100
850 , CH , I , M , 230 , 335
851 , CH , I , M , 220 , 335
852 , SS , I , M , 163 , 105
853 , RT , I ,  , 376 , 860
854 , RT , I ,  , 360 , 935
855 , RT , A ,  , 372 , 1010
856 , RT , I ,  , 400 , 1285
857 , SS , A , F , 194 , 210
858 , RT , I ,  , 370 , 830
859 , SS , I , M , 160 , 95
860 , RT , I ,  , 403 , 1350
861 , RT , I ,  , 375 , 1010
862 , RT , I ,  , 373 , 960
863 , RT , I ,  , 385 , 1370
864 , SS , I , F , 143 , 170
865 , SS , I , M , 162 , 100
866 , RT , I ,  , 392 , 1250
867 , RT , I ,  , 372 , 915
868 , RT , I ,  , 375 , 850
869 , RT , I ,  , 415 , 1285
870 , SS , A , M , 161 , 95
871 , RT , A ,  , 380 , 1005
872 , RT , A ,  , 411 , 1220
873 , SS , A , M , 161 , 95
874 , SS , I , M , 165 , 100
875 , RT , I ,  , 393 , 1265
876 , RT , I ,  , 370 , 1020
877 , CH , A , M , 230 , 360
878 , RT , I ,  , 365 , 895
879 , RT , I ,  , 371 , 1160
880 , RT , I ,  , 400 , 1585
881 , RT , A ,  , 382 , 1140
882 , RT , A ,  , 371 , 1115
883 , RT , A ,  , 370 , 1145
884 , SS , A , F , 194 , 185
885 , RT , A ,  , 347 , 990
886 , RT , I ,  , 363 , 945
887 , SS , I , F , 195 , 165
888 , RT , A ,  , 392 , 1030
889 , CH , I , M , 220 , 320
890 , SS , I , F , 193 , 105
891 , RT , I ,  , 365 , 990
892 , RT , A ,  , 387 , 1065
893 , RT , I ,  , 400 , 1050
894 , RT , I ,  , 362 , 840
895 , SS , I , F , 198 , 190
896 , SS , I , F , 190 , 200
897 , SS , I , F , 197 , 185
898 , RT , A ,  , 370 , 1000
899 , SS , I , F , 200 , 185
900 , RT , A ,  , 360 , 1325
901 , RT , A ,  , 366 , 945
902 , RT , A ,  , 402 , 1350
903 , RT , I ,  , 366 , 805
904 , RT , I ,  , 380 , 1525
905 , SS , I , F , 190 , 175
906 , RT , I ,  , 360 , 790
907 , RT , I ,  , 369 , 860
908 , RT , A ,  , 199 , 1290
